column,action,method,reason,source_label,source_url
SSBPPPL_4_tert_butyl_phenyl_phenyl_phosphate_cd,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
SSIPPPL_2_isopropyl_phenyl_phenyl_phosphate_cd,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
SSLBDHD_hepatitis_d_antibody_anti_hdv_retesting,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
SSMEASI_measles_igg_antibody_mba_interpretation,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
SSMEASQC_measles_igg_antibody_mba_comment,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
SSMMACLC_n_acetyl_s_methyl_l_cysteine_cmt_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
SSMUMPI_mumps_igg_antibody_mba_interpretation,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
SSMUMPQC_mumps_igg_antibody_mba_comment,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
SSPPMALC_ppma_cmt_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
SSRUBI_rubella_igg_antibody_mba_interpretation,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
SSRUBQC_rubella_igg_antibody_mba_comment,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
SSVARGI_varicella_gpelisa_interpretation,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
SSVARINT_varicella_overall_interpretation,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
SSVARMI_varicella_igg_antibody_mba_interpret,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
SSVARMQC_varicella_igg_antibody_mba_comment,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URD2MHLC_2_methylhippuric_acid_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URD34MLC_3_methipurc_acd_4_methipurc_acid_comt,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDAAMLC_n_ace_s_2_carbamoylethyl_l_cys_comt,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDAMCLC_n_ace_s_n_methlcarbamoyl_l_cys_comt,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDATCLC_2_amnothiazolne_4_carbxylic_acid_comt,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDBBALC_2_3_4_5_tetrabromobenzoic_acid_comt_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDBCPLC_bis_1_chloro_2_propyl_phosphate_comt,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDBDCLC_bis_1_3_dichloro_2_propyl_phosph_comt,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDBMALC_n_acetyl_s_benzyl_l_cysteine_comt,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDBPMLC_n_acetyl_s_n_propyl_l_cysteine_comt,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDCEMLC_n_acetyl_s_2_carbxyethyl_l_cys_comt,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDCEPLC_bis_2_chloroethyl_phosphate_comt_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDCYALC_cyha_cysteine_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDCYMLC_n_acetyl_s_2_cyanoethyl_l_cyst_comt,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDDHBLC_n_ace_s_3_4_dihidxybutl_l_cys_comt,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDDPHLC_diphenyl_phosphate_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDDUPLC_dibutyl_phosphate_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDGAMLC_n_ac_s_2_carbmo_2_hydxel_l_cys_comt,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDHEMLC_n_ace_s_2_hydroxyethyl_l_cys_comt,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDHP2LC_n_ace_s_2_hydroxypropyl_l_cys_comt,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDHPMLC_n_ace_s_3_hydroxypropyl_l_cys_comt,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDMADLC_mandelic_acid_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDMB3LC_n_a_s_4_hydrxy_2_butenyl_l_cys_comt,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDMUCLC_trans_trans_muconic_acid_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDNO3LC_nitrate_urine_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDOP1LC_dimethylphosphate_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDOP2LC_diethylphosphate_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDOP3LC_dimethylthiophosphate_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDOP4LC_diethylthiophosphate_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDOP5LC_dimethyldithiophosphate_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDOP6LC_diethyldithiophosphate_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDPHGLC_phenylglyoxylic_acid_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDPM3LC_ipm3_cysteine_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDPMALC_phenylmercapturic_acid_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDPMMLC_n_a_s_3_hydrxprpl_1_metl_l_cys_comt,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDSCNLC_thiocyanate_urine_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDTTCLC_2_thoxothazlidne_4_carbxylic_comt,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDUA3LC_urinary_arsenous_acid_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDUA5LC_urinary_arsenic_acid_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDUABLC_urinary_arsenobetaine_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDUACLC_urinary_arsenocholine_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDUASLC_arsenic_total_urine_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDUBALC_urinary_barium_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDUCDLC_urinary_cadmium_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDUCMLC_chromium_urine_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDUCOLC_urinary_cobalt_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDUCRLC_creatinine_urine_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDUCSLC_urinary_cesium_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDUDALC_urinary_dimethylarsinic_acid_comment,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDUHGLC_mercury_urine_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDUIOLC_iodine_urine_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDUMALC_albumin_urine_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDUMMAL_urinary_monomethylarsonic_acid_comment,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDUMNLC_urinary_mn_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDUMOLC_urinary_molybdenum_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDUNILC_nickel_urine_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDUP8LC_perchlorate_urine_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDUPBLC_urinary_lead_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDUSBLC_urinary_antimony_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDUSNLC_usn_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDUTLLC_urinary_thallium_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URDUTULC_urinary_tungsten_comment_code,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
URXPREG_urine_pregnancy_result,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
age_years,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
agq030___did_sp_have_episode_of_hay_fever/past_yr,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
alcohol,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
alq111___ever_had_a_drink_of_any_kind_of_alcohol,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
alq151___ever_have_4/5_or_more_drinks_every_day?,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
alq290___#_times_12+_drinks_in_1_day/past_12_mos,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
anemia,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
anxiety,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
any_implant,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
any_root_caries,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
any_root_restoration_caries,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
bpq020___ever_told_you_had_high_blood_pressure,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
bpq030___told_had_high_blood_pressure___2+_times,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
bpq040a___taking_prescription_for_hypertension,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
bpq050a___now_taking_prescribed_medicine_for_hbp,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
bpq060___ever_had_blood_cholesterol_checked,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
bpq070___when_blood_cholesterol_last_checked,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
bpq080___doctor_told_you___high_cholesterol_level,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
bpq090d___told_to_take_prescriptn_for_cholesterol,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
bpq100d___now_taking_prescribed_medicine,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
cdq001___sp_ever_had_pain_or_discomfort_in_chest,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
cdq002___sp_get_it_walking_uphill_or_in_a_hurry,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
cdq003___during_an_ordinary_pace_on_level_ground,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
cdq004___if_so_does_sp_continue_or_slow_down,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
cdq005___does_standing_relieve_pain/discomfort,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
cdq006___how_soon_is_the_pain_relieved,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
cdq008___severe_pain_in_chest_more_than_half_hour,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
cdq009a___pain_in_right_arm,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
cdq009b___pain_in_right_chest,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
cdq009c___pain_in_neck,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
cdq009d___pain_in_upper_sternum,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
cdq009e___pain_in_lower_sternum,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
cdq009f___pain_in_left_chest,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
cdq009g___pain_in_left_arm,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
cdq010___shortness_of_breath_on_stairs/inclines,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
cluster,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
coronary_heart,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
country_of_birth,untouched,non_numeric,Non-numeric column preserved as-is.,,
depression,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
diabetes,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
diq010___doctor_told_you_have_diabetes,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
diq050___taking_insulin_now,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
diq060u___unit_of_measure_(month/year),untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
diq070___take_diabetic_pills_to_lower_blood_sugar,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
diq080___diabetes_affected_eyes/had_retinopathy,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
diq160___ever_told_you_have_prediabetes,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
diq180___had_blood_tested_past_three_years,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
diq230___how_long_ago_saw_a_diabetes_specialist,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
diq240___is_there_one_dr_you_see_for_diabetes,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
diq260u___unit_of_measure_(day/week/month/year),untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
diq275___past_year_dr_checked_for_a1c,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
diq291___what_does_dr_say_a1c_should_be,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
diq350u___unit_of_measure_(day/week/month/year),untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
diq360___last_time_had_pupils_dilated_for_exam,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
dpq040___feeling_tired_or_having_little_energy,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
education,untouched,non_numeric,Non-numeric column preserved as-is.,,
electrolyte_imbalance,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
emphysema_lungs,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
ethnicity,untouched,non_numeric,Non-numeric column preserved as-is.,,
fatigue_binary_lenient,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
fatigue_binary_strict,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
fatigue_ordinal,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
gender,untouched,non_numeric,Non-numeric column preserved as-is.,,
heart_failure,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
hepatic_insufficiency,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
hepatitis_bc,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
heq010___ever_told_you_have_hepatitis_b?,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
heq020___ever_prescribed_meds_treat_hepatitis_b?,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
heq030___ever_told_you_have_hepatitis_c?,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
heq040___ever_prescribed_meds_treat_hepatitis_c?,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
high_blood_pressure,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
high_cholesterol,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
hud062___how_long_since_last_healthcare_visit,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
huq010___general_health_condition,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
huq030___routine_place_to_go_for_healthcare,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
huq051___#times_receive_healthcare_over_past_year,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
huq071___overnight_hospital_patient_in_last_year,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
huq090___seen_mental_health_professional/past_yr,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
infection_inflammation,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
iron_deficiency,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
kidney,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
kiq005___how_often_have_urinary_leakage?,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
kiq010___how_much_urine_lose_each_time?,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
kiq022___ever_told_you_had_weak/failing_kidneys?,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
kiq025___received_dialysis_in_past_12_months?,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
kiq026___ever_had_kidney_stones?,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
kiq029___pass_kidney_stone_in_past_12_months?,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
kiq042___leak_urine_during_physical_activities?,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
kiq044___urinated_before_reaching_the_toilet?,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
kiq046___leak_urine_during_nonphysical_activities,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
kiq050___how_much_did_urine_leakage_bother_you?,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
kiq052___how_much_were_daily_activities_affected?,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
kiq430___how_frequently_does_this_occur?,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
kiq450___how_frequently_does_this_occur?,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
kiq470___how_frequently_does_this_occur?,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
kiq480___how_many_times_urinate_in_night?,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
liver,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
liver_exam_status,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
marital_status,untouched,non_numeric,Non-numeric column preserved as-is.,,
mcd093___year_receive_blood_transfusion,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq010___ever_been_told_you_have_asthma,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq035___still_have_asthma,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq040___had_asthma_attack_in_past_year,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq050___emergency_care_visit_for_asthma/past_yr,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq053___taking_treatment_for_anemia/past_3_mos,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq080___doctor_ever_said_you_were_overweight,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq092___ever_receive_blood_transfusion,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq149___menstrual_periods_started_yet?,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq151___age_in_years_at_first_menstrual_period,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq160a___ever_told_you_had_arthritis,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq160b___ever_told_you_had_congestive_heart_failure,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq160c___ever_told_you_had_coronary_heart_disease,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq160d___ever_told_you_had_angina,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq160e___ever_told_you_had_heart_attack,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq160f___ever_told_you_had_stroke,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq160l___ever_told_you_had_any_liver_condition,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq160m___ever_told_you_had_thyroid_problem,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq160p___ever_told_you_had_copd_emphysema,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq170l___still_have_liver_condition,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq170m___still_have_thyroid_problem,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq195___which_type_of_arthritis_was_it?,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq220___ever_told_you_had_cancer_or_malignancy,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq230c___what_kind_of_cancer_third_mention,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq300a___close_relative_had_heart_attack,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq300b___close_relative_had_asthma,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq300c___close_relative_had_diabetes,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq366a___doctor_told_to_control_weight,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq366b___doctor_told_to_increase_exercise,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq366c___doctor_told_to_reduce_salt,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq366d___doctor_told_to_reduce_fat_in_diet,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq371a___doing_controlling_weight,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
mcq371b___doing_increasing_exercise,untouched,categorical_numeric_or_protected,Protected identifier or low-cardinality numeric code kept as categorical-like.,,
